parishCode,parishName,subCountyCode
006-028-01-01,Page,006-028-01
006-028-01-02,KIKEREGE,006-028-01
006-028-01-03,BUTEMA,006-028-01
006-028-01-04,KITOONYA,006-028-01
006-028-01-08,KITOROGYA,006-028-01
006-028-01-09,KYOHAIRWE,006-028-01
006-028-02-06,NYAKABINGO,006-028-02
006-028-02-07,TONYA,006-028-02
006-028-02-16,BUSERUKA,006-028-02
006-028-02-17,RWENTALE,006-028-02
006-028-02-02,Page,006-028-02
006-028-03-18,CENTRAL WARD,006-028-03
006-028-03-19,KAKINDO WARD,006-028-03
006-028-03-20,KIBAIRE WARD,006-028-03
006-028-07-23,BIRUNGU,006-028-07
006-028-07-03,Page,006-028-07
006-028-07-24,BULYANGO,006-028-07
006-028-07-25,KIBANJWA,006-028-07
006-028-07-26,KIRAGURA,006-028-07
006-028-07-04,Page,006-028-07
006-028-07-27,KIRYANGOBE,006-028-07
006-028-07-34,BUDAKA,006-028-07
006-028-08-30,KIBUGUBYA,006-028-08
006-028-08-05,Page,006-028-08
006-028-08-31,KISABAGWA,006-028-08
006-028-09-05,KABAALE,006-028-09
006-028-09-06,Page,006-028-09
006-028-09-13,NZOROBI,006-028-09
006-028-09-14,KIGAAGA,006-028-09
006-028-09-15,MBEGU,006-028-09
006-028-10-10,BUSANGA,006-028-10
006-028-10-11,KYABANATI,006-028-10
006-028-10-07,Page,006-028-10
006-028-10-12,BUYANJA,006-028-10
006-028-10-29,BURARU,006-028-10
006-028-10-08,Page,006-028-10
006-264-01-01,KYAMUKWENDA,006-264-01
006-264-01-02,KIBENGEYA,006-264-01
006-264-01-15,KAPAAPI,006-264-01
006-264-02-03,MARONGO,006-264-02
006-264-02-04,BUHIRIGI,006-264-02
006-264-02-09,Page,006-264-02
006-264-02-05,HANGA,006-264-02
006-264-02-06,KANYIIRA,006-264-02
006-264-02-14,BWIKYA,006-264-02
006-264-03-08,BUKONA,006-264-03
006-264-03-09,HAIBALE,006-264-03
006-264-03-10,KABATINDULE,006-264-03
006-264-03-11,NDARAGI,006-264-03
006-264-03-18,KISUKUMA,006-264-03
006-264-04-12,KIRYANDONGO,006-264-04
006-264-04-13,KYERAMYA,006-264-04
006-264-04-16,KIGANJA,006-264-04
006-264-04-32,KIBIRO,006-264-04
006-264-04-11,Page,006-264-04
006-264-05-24,HANGA,006-264-05
