villageCode,villageName,parishCode
006-028-01-01-01,KASAMBYA I,006-028-01-01
006-028-01-01-02,KATEREIGA I,006-028-01-01
006-028-01-01-03,KATEREIGA II,006-028-01-01
006-028-01-01-04,KASAMBYA II,006-028-01-01
006-028-01-01-05,KISUGA,006-028-01-01
006-028-01-01-06,KIKABURA,006-028-01-01
006-028-01-02-01,KYOMUJUNGU,006-028-01-02
006-028-01-02-06,KIGONA,006-028-01-02
006-028-01-02-07,KIHENDA,006-028-01-02
006-028-01-02-10,KIKEREGE,006-028-01-02
006-028-01-02-11,KYAMUGENZI,006-028-01-02
006-028-01-03-02,KIFURANSA,006-028-01-03
006-028-01-03-04,KIFUMURA I,006-028-01-03
006-028-01-03-05,KIKONKO,006-028-01-03
006-028-01-03-08,KIHUURA I,006-028-01-03
006-028-01-03-09,KIHUURA II,006-028-01-03
006-028-01-04-01,KYAMIRANSIMBI,006-028-01-04
006-028-01-04-02,KYAMUZIZI,006-028-01-04
006-028-01-04-03,KIDUKURU,006-028-01-04
006-028-01-04-06,KITOONYA I,006-028-01-04
006-028-01-04-07,KITOONYA II,006-028-01-04
006-028-01-08-01,ISOKOMA,006-028-01-08
006-028-01-08-02,KABURAMURRO,006-028-01-08
006-028-01-08-03,KYAKARAIGA,006-028-01-08
006-028-01-08-04,MUHANGAIZIMA,006-028-01-08
006-028-01-08-08,KITOROGYA,006-028-01-08
006-028-01-09-01,GALIBOLEKA,006-028-01-09
006-028-01-09-02,KATASENYWA,006-028-01-09
006-028-01-09-04,KIFUMURA II,006-028-01-09
006-028-01-09-09,KYOHAIRWE,006-028-01-09
006-028-01-09-10,WAGESA,006-028-01-09
006-028-02-06-01,KIKYORA,006-028-02-06
006-028-02-06-02,BISENYI,006-028-02-06
006-028-02-06-04,BUSERUKA T/C,006-028-02-06
006-028-02-06-05,KARANWANGO,006-028-02-06
006-028-02-06-06,KASENYI,006-028-02-06
006-028-02-06-08,LYATO,006-028-02-06
006-028-02-06-09,NYABIHUKURU,006-028-02-06
006-028-02-06-10,NYAKABINGO,006-028-02-06
006-028-02-07-03,KABANDA,006-028-02-07
006-028-02-07-05,KIJANGI A,006-028-02-07
006-028-02-07-06,KIJANGI B,006-028-02-07
006-028-02-07-08,TOONYA A,006-028-02-07
006-028-02-07-09,TOONYA B,006-028-02-07
006-028-02-16-01,BIGANDO,006-028-02-16
006-028-02-16-02,KAKODA,006-028-02-16
006-028-02-16-07,KYAKABOOGA A,006-028-02-16
006-028-02-16-08,KYAKABOOGA B,006-028-02-16
006-028-02-16-11,RWAMUTONGA A,006-028-02-16
006-028-02-16-12,RWAMUTONGA B,006-028-02-16
006-028-02-17-01,FOFO,006-028-02-17
006-028-02-17-02,HOIMO,006-028-02-17
006-028-02-17-05,RWENTALE,006-028-02-17
006-028-02-17-06,KIRYAMBOGA,006-028-02-17
006-028-03-18-06,KIHORO,006-028-03-18
006-028-03-18-07,KISEETA,006-028-03-18
006-028-03-18-10,KYAMPAKA,006-028-03-18
006-028-03-18-11,NYAITUMA,006-028-03-18
006-028-03-18-13,MPARANGASI,006-028-03-18
006-028-03-19-01,KAKINDO,006-028-03-19
006-028-03-19-08,KYAKAMESE,006-028-03-19
006-028-03-19-09,KYAMONGI,006-028-03-19
006-028-03-19-12,NYAKAKONGE,006-028-03-19
006-028-03-20-02,KATIKARA,006-028-03-20
006-028-03-20-03,KIBAIRE,006-028-03-20
006-028-03-20-04,KIGUNGU,006-028-03-20
006-028-03-20-05,KIHAMBYA,006-028-03-20
006-028-07-23-01,BIRUNGU EAST,006-028-07-23
006-028-07-23-02,BUHAMBA,006-028-07-23
006-028-07-23-03,BUNIINA,006-028-07-23
006-028-07-23-04,KISWERO,006-028-07-23
006-028-07-23-05,KITEMBEKA,006-028-07-23
006-028-07-23-06,KITESUKURA,006-028-07-23
006-028-07-23-07,MBIIWE,006-028-07-23
006-028-07-23-08,MPUNDA,006-028-07-23
006-028-07-23-09,BIRUNGU WEST,006-028-07-23
006-028-07-23-10,KATUGO,006-028-07-23
006-028-07-23-11,KISEKE,006-028-07-23
006-028-07-23-12,KABURUNGI,006-028-07-23
006-028-07-23-13,KYANGUHIRA,006-028-07-23
006-028-07-23-14,NTOTOMA,006-028-07-23
006-028-07-23-15,NYAWAMPAMBA,006-028-07-23
006-028-07-24-01,KABOIJANA WEST,006-028-07-24
006-028-07-24-02,BULYANGO,006-028-07-24
006-028-07-24-03,KABOIJANA EAST,006-028-07-24
006-028-07-24-04,KIKOONOKA,006-028-07-24
006-028-07-24-05,KIRAIRA EAST,006-028-07-24
006-028-07-24-06,KYAKATABA,006-028-07-24
006-028-07-24-07,MBARARA EAST,006-028-07-24
